Tempo Del Viaggiatore, Lower Bound, Upper Bound, Risolto In 1 h, Monumenti Considerati, Politica Selezione Monumenti, Tempo
10000, 797.0, 797.0, Si, 15, mista (1d2p), 138.56400275230408
10000, 797.0, 797.0, Si, 16, mista (1d2p), 27.022870302200317
10000, 797.0, 797.0, Si, 17, mista (1d2p), 66.07977414131165
10000, 811.0, 811.0, Si, 18, mista (1d2p), 545.5612893104553
10000, 855.0, 859.0000000000002, No, 19, mista (1d2p), 939.0945632457733
10000, 891.0, 891.0, Si, 15, mista (1d8p), 13.50168251991272
10000, 973.0, 973.0, Si, 16, mista (1d8p), 27.00655221939087
10000, 1071.0, 1071.0, Si, 17, mista (1d8p), 7.795783758163452
10000, 1071.0, 1071.0, Si, 18, mista (1d8p), 7.16359806060791
10000, 1164.0, 1164.0, Si, 19, mista (1d8p), 12.553529262542725
10000, 1231.0, 1231.0, Si, 20, mista (1d8p), 10.115966796875
10000, 1306.0, 1306.0, Si, 21, mista (1d8p), 25.19733476638794
10000, 1306.0, 1306.0, Si, 22, mista (1d8p), 10.902893543243408
10000, 1379.0, 1379.0, Si, 23, mista (1d8p), 9.126582860946655
10000, 1414.0, 1414.0, Si, 24, mista (1d8p), 58.03374409675598
10000, 891.0, 891.0, Si, 15, mista (1d8p), 16.86273455619812
10000, 1379.0, 1379.0, Si, 23, mista (1d8p), 8.523663759231567
10000, 1414.0, 1414.0, Si, 24, mista (1d8p), 17.257768154144287
10000, 1414.0, 1414.0, Si, 25, mista (1d8p), 5.883843898773193
10000, 1435.0, 1435.0, Si, 26, mista (1d8p), 187.10728526115417
10000, 1435.0, 1435.0, Si, 27, mista (1d8p), 195.75306463241577
10000, 1435.0, 1435.0, Si, 28, mista (1d8p), 305.36364459991455
10000, 1469.0, 1503.7499432708435, No, 29, mista (1d8p), 923.519406080246
10000, 1487.0, 1502.555376214304, No, 30, mista (1d8p), 913.0688605308533
10000, 1379.0, 1379.0, Si, 23, mista (1d8p), 9.241411685943604
10000, 1414.0, 1414.0, Si, 24, mista (1d8p), 14.791366815567017
